variant,weight_decay,batch_size,model_seed,split_seed,shuffle_seed,original_loss,original_acc,zero_ablated_loss,zero_ablated_acc,mean_ablated_loss,mean_ablated_acc,loss_ratio_zero,loss_ratio_mean
POST,0.15,-1,1234,42,43,0.005028262734413147,0.9974156022071838,0.0065707433968782425,0.995927631855011,0.007392105646431446,0.9958493113517761,1.306762145086104,1.470111256486319
POST,0.15,-1,1235,41,43,0.1387908011674881,0.9565353393554688,0.13939087092876434,0.9554389715194702,0.13951335847377777,0.9550473690032959,1.004323555712832,1.005206089310038
POST,0.15,-1,1235,42,43,0.0005572967347688973,0.9996083974838257,0.0007218536920845509,0.9996867179870605,0.0009368487517349422,0.9995300769805908,1.2952770885763272,1.6810591078080503
POST,0.15,-1,1236,41,43,2.1723810277762823e-05,1.0,1.5798010281287134e-05,1.0,3.31276714859996e-05,1.0,0.7272209653505617,1.5249475604153166
POST,0.15,-1,1236,42,43,0.0001408008101861924,1.0,0.00016265976591967046,1.0,0.0001792051480151713,1.0,1.1552473718338139,1.2727565116862163
POST,0.15,1024,1234,41,43,0.0014374315505847335,0.999295175075531,0.0012356287334114313,0.9994518160820007,0.0014072336489334702,0.9994518160820007,0.8596087465234705,0.9789917637198244
POST,0.15,1024,1234,41,44,0.0008584101451560855,0.9996083974838257,0.0007092494051903486,0.9996867179870605,0.0007212623604573309,0.9996083974838257,0.8262360471769414,0.8402304708621345
POST,0.15,1024,1234,42,43,0.00020466356363613158,0.9999216794967651,0.005064413417130709,0.9970240592956543,0.0008252522675320506,0.9995300769805908,24.745066132702824,4.032238337251152
POST,0.15,1024,1234,42,44,1.4974943951528985e-07,1.0,2.502248889868497e-06,1.0,1.5000023267930374e-06,1.0,16.70957098716226,10.016747519378079
POST,0.15,1024,1235,41,43,1.807991247915197e-05,1.0,2.9888340577599593e-05,1.0,2.6113082640222274e-05,1.0,1.653124184758304,1.444314659727108
POST,0.15,1024,1235,41,44,3.5339769510756014e-07,1.0,7.946117648316431e-07,1.0,7.871035450079944e-07,1.0,2.2484916450566974,2.227245836361303
POST,0.15,1024,1235,42,43,0.00026401347713544965,0.9999216794967651,0.00023224586038850248,0.9998433589935303,0.0002661410835571587,0.9998433589935303,0.879674260982332,1.008058703838886
POST,0.15,1024,1235,42,44,4.7236568434527726e-07,1.0,1.110351490751782e-06,1.0,1.1883288379976875e-06,1.0,2.3506184457297854,2.515696794623791
POST,0.15,1024,1236,41,43,2.176387351937592e-05,1.0,4.298490603105165e-05,1.0,2.926496927102562e-05,1.0,1.9750577025171134,1.344658120943941
POST,0.15,1024,1236,41,44,1.370557214386281e-07,1.0,3.492984251352027e-05,1.0,3.6699500924441963e-05,1.0,254.8586964985729,267.77065954795296
POST,0.15,1024,1236,42,43,0.00021310505690053105,0.9999216794967651,0.0017930385656654835,0.9990602135658264,0.0002852031320799142,0.9998433589935303,8.413871504243104,1.338321747160771
POST,0.15,1024,1236,42,44,5.996774052619003e-05,1.0,0.01543213240802288,0.9923251867294312,0.00015051645459607244,1.0,257.3405679889361,2.509957074843208
POST,0.15,256,1234,41,43,1.0704592767751819e-07,1.0,6.222966817404085e-07,1.0,6.12423889378988e-07,1.0,5.813361565842205,5.721132066078674
POST,0.15,256,1234,41,44,6.261899443416041e-07,1.0,8.887120088729716e-07,1.0,1.0189811519012437e-06,1.0,1.4192371131213093,1.627271662710318
POST,0.15,256,1234,42,43,9.101394198296475e-07,1.0,1.0104257853527088e-05,1.0,9.495081940258387e-06,1.0,11.101879155413705,10.432557620716615
POST,0.15,256,1234,42,44,9.678204150986858e-06,1.0,1.0067412404168863e-05,1.0,1.0667771675798576e-05,1.0,1.0402149249085966,1.1022470191136458
